,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
num__pct_tl_open_l12m,0.0460396301772531,-0.19396867519211766,0.008206469351508181,0.21497577263218906,0.130254282630969,-0.023955587161793378,0.0029128376770928555,-0.01212536894005084,0.08643417117117719,0.04235255213561431,-0.03098355347197196,0.02417210272361414,-0.04324459473907449,0.08396724869951311,0.05151283014639228,0.04232952581954133,-0.026042481235214326,0.09422556016692857,0.05359301900795092,-0.06503561665983845,0.033082092845444916,0.0628633640920494,0.00043924405383434506,0.015533344824519402,0.01829000868943966,0.06846869403314532,0.02540640346393328,-0.03318170565101455,0.01921096530115793,0.001192240360356367,-0.046506505442538044,0.0010302505810248774,-0.004183307914043338,-0.07423225214596872,-0.05869519195908836,0.5793289771867426,-0.4351627111187685,0.14872972891381764,0.07344411162977056,0.11606443711170775,0.22249858724328922,-0.08725871152395147,-0.08248532684288697,-0.03905231800496097,-0.035484174631938876,-0.1202822021063727
num__pct_tl_closed_l12m,0.033898299005517184,0.02927407532026716,-0.0654043699790406,-0.18260214548887196,0.3206452062422291,0.14159349040024502,0.028607031281516926,0.017235997218355597,0.06403838093538133,0.19216313858126777,-0.12723860694478528,-0.026241360783932896,-0.1846196266555612,0.007499784044503854,0.0896577911641197,-0.004614155493302699,0.011530166436704015,0.018134704134926405,0.08840876897578914,0.013646608051415654,0.0725392562609539,0.052953295350468825,-0.0036967059526188464,-0.0015814041944923114,0.07107951351989937,0.0933504645390792,-0.012690604727466429,-0.025714716818351552,-0.0516057430433112,0.030482561005892223,-0.0052959065929520655,0.15690115757898315,0.03345152421597079,0.02136487565274162,0.15155731638744974,-0.02169826985367314,-0.009686901786616096,0.04027114748810762,-0.013822403183715831,-0.05704372166127916,-0.03201355844605397,-0.016365996571118473,0.14352421273350682,0.05941824112737339,0.6727788568163056,-0.015773082175880825
num__tot_missed_pmnt,0.13387235884414037,0.04736072629226606,-0.12460100686370132,0.17544741095174649,-0.006954286385832467,-0.05416111810855315,-0.011452846758392143,0.002418410209754862,0.040205513547667826,0.0028341509782579127,-0.009669033624512206,0.06853756154960855,0.07127284428367835,0.06903152476292744,-0.11451827493154865,-0.06850426944540011,0.037757520037297904,-0.08744833344431699,0.003187251074279685,-0.031178058565283825,-0.02823635519887368,-0.016820522883123967,-0.0076854330219713225,-0.0090863224499306,-0.061577415729347974,0.19994023566136415,0.1468809927183855,-0.30208379852643436,-0.28715182952567353,0.31383447870202974,-0.02651933365017893,0.33120660259814494,0.018821772118741184,0.0949455396306605,0.32417150043941184,-0.13363182417583477,0.1384003274390865,-0.0207236488091546,0.0022315409441243245,-0.17060197081119366,0.34366110333886696,-0.08472396931065904,-0.16732143044211975,-0.058876153482568486,-0.12631770686795768,-0.12129472741605626
num__auto_tl,0.059878265099326644,0.06505529675636154,0.011940738789610566,-0.0015075999073815042,-0.06748733452363664,0.06623915463970481,0.01108103051089221,0.004413502904777045,-0.03143877177636112,-0.142060720725866,0.08902279635870325,-0.09945257955519027,0.013257024817635993,-0.06239249757543802,-0.1343652217108518,-0.1010060021197719,0.16374974150684674,-0.10946434115344356,0.11473339407628075,-0.009754753817784054,0.13463755894470705,-0.1848504008588368,-0.10825652705339925,-0.03854989834520477,0.7504072255162277,-0.08874150074643683,0.10362830394536403,-0.11699715609528645,0.04117457970041825,-0.04701875559406273,-0.02229162583591252,0.008239612192555923,-0.014806394284260352,-0.02613180413812205,0.007949123056263385,0.05736631619506084,-0.10381401411564908,-0.01597448342691729,-0.05534691601228081,-0.17348387437841595,0.023284593613858182,0.17643107460849083,0.13361547850111274,0.013817259721115345,-0.045128222603329105,0.11070878640120377
num__cc_tl,0.1152005132689386,-0.014314174097817904,0.040343046012861206,-0.058495330371601456,-0.21673499480246292,0.1945087332936496,0.07075878339314992,-0.03486896743392573,0.12446809564581897,-0.04404785200367696,0.07776631089654273,0.01297422592697875,-0.02734468479030902,-0.014118004770969875,0.177453689098917,0.2261476082789019,-0.12812441783518413,-0.2868050462020548,0.2432978772928099,-0.08083565776613934,0.08753847250301919,0.06793671055308645,0.018622278490693513,0.01164091363424287,-0.04874113261610914,0.09022907722652584,0.007943998766874655,0.03342053252703647,-0.16874216942702455,-0.14637108674874347,-0.007055223399767274,0.010637659975153452,-0.0010107570076190037,0.023585551086767034,0.0008901080690459362,0.009011420091495772,-0.028903280322226596,-0.018869911118981453,-0.004807963299239104,-0.054560043609614695,-0.03758540806944168,-0.16228966228849848,0.06703974093838123,0.04043047434454864,-0.053077142059517496,-4.993776461715031e-05
num__consumer_tl,0.16002948871562378,-0.02567907406692513,-0.07800326793581856,0.0017093621666456925,0.12075585058430167,0.21241920238029088,0.0986846783028843,0.03735047935547642,0.05469699120335536,-0.1223529672497916,0.1862239668549202,0.08577351531742777,0.10757648062244335,-0.005945703835440408,-0.0725079377040285,-0.15277705045282108,-0.013283012409624234,-0.013642602531557607,-0.0727577351992608,0.15006240194778175,-0.007008675228883647,-0.014941468098195299,0.027373763290813993,0.014548756834260379,-0.16884922284742407,-0.293357194945448,0.02776798352935478,0.048664575865402945,0.20154240104100893,-0.19393762032290612,-0.012477478940351477,-0.028595150122806674,0.011450594178385464,0.06743746636035845,0.2485944999137847,0.04729675309225493,0.025400358937541855,0.07411027667643286,-0.02528005945742494,-0.011698873733876514,-0.033219693608109876,0.08720316076060197,-0.14906764325658856,-0.031132594890636512,0.03701154812683123,-0.06489118290249384
num__gold_tl,0.0912504940253215,0.17944282433071057,-0.13224021287014986,0.04494391125518757,-0.020228221569380735,-0.21684643054346436,-0.07701666393966394,-0.06710822745873767,0.11297098492238702,-0.1404712165157493,-0.04006873002353403,-0.2046441836042013,0.076351004068337,0.045061495063595934,0.11608858122476609,0.0963480593746592,-0.1998892838265879,0.1541425497813642,-0.02894119235368109,0.00877841969639162,0.0008330356653878657,0.012200692490271439,0.0005223801179905785,7.814382411067133e-05,-0.01050480143286385,0.1593023187248102,0.04073674592684989,-0.02463344098142084,0.11659024588718271,-0.11479340254596898,-0.048197076050692615,0.05340457565383466,0.034918078316064444,0.010852246408912448,0.1364950538396404,-0.008434718146594787,0.04047124313806838,-0.009171692916635702,0.018993439399370426,0.10086691454651864,-0.038385261624361205,-0.015035531043865607,0.002824894433879302,0.007302077885342948,0.0261463747648102,-0.008544601895062095
num__home_tl,0.03342677447192416,0.05396224915893389,-7.549691836270582e-05,0.03994105526653885,-0.1714302024802074,0.12353376532158913,0.030177388519717796,0.045803805827678845,-0.21305102740701776,0.037057217207215915,-0.05975780398414088,-0.014778876682071285,-0.2105727711083461,0.44750863819151077,0.18453473833312983,-0.249669792263974,-0.1729119159060909,-0.03146257433070629,-0.08419194645859732,-0.0031504443287399624,-0.037167539169690796,0.007743961391192392,-0.005242638974976167,-0.00011249590547126112,0.032378877576378945,-0.02650076110694423,0.004930883955355653,-0.011168149934076513,0.003318673935450253,0.008305975335233445,0.00663140194337686,-0.01740304625527886,0.0009358126739852923,0.02860614493584503,-0.008347761781921148,0.019415891360086274,-0.02763130795968257,-0.02032128395545682,-0.013375326424845003,-0.036834954729956265,-0.02725424790897602,0.007178813204271876,-0.007719090743227935,-0.005405371955826786,-0.004119461550407738,0.02575637209404555
num__pl_tl,0.13415510380177934,0.006461108307548938,-0.03429608053064285,-0.05233240952289239,-0.0557745166040375,0.11315126483084725,0.04733568726525411,0.04595430088482502,-0.2199648257909752,0.006817956765790417,0.05132621043326904,0.1559851592426179,0.0044301570617134856,-0.11481744386404683,0.19979287628421644,0.2730874201232014,0.0683382093884953,0.19373315273004232,-0.2399934804774279,-0.1121396386351546,-0.18560736005965855,-0.009783907059826798,-0.01891477400836239,-0.0007411989229874072,0.09484341340547649,0.0666457287953775,0.0005728553409472675,-0.01747646602090564,0.00807229633691014,0.037805811565699315,-0.04268023698525972,0.16078892519029955,0.027604604011093117,0.04638961034707488,-0.15091530503134676,0.009430816926496407,-0.06315368980769281,-0.0360937180004503,0.014369386849058335,-0.07238180925582999,0.09039257802422607,-0.3388082657926731,0.014269512218365255,-0.07061954020401943,0.007896182073773975,0.5163425854504754
num__secured_tl,0.11060371838952716,0.2061400830511769,-0.14995997433031286,0.06452228799676789,-0.05394219527770458,-0.1896671657530228,-0.07232969591696692,-0.05477050995257485,0.07508525897575569,-0.11115566246545446,-0.04890907240531417,-0.198147735284273,0.056814592351369014,0.039413431205093497,0.0525078584771969,0.04754457751568175,-0.1605758528691152,0.10448047927056522,0.006502673906325985,0.002396442289287072,0.031351854993848974,-0.009226359692831212,-0.01485255068608761,-0.005962810201484318,0.10496069807880605,0.11624602012132804,-0.07937055746737395,0.05207366057672859,0.016385221145921378,0.011876637221357532,-0.0005094268189254902,0.04055591655693119,-0.004091211293899694,0.003896013925618556,0.015081446862810377,0.020626231267579814,-0.014357613315983711,0.01286520945620065,-0.004958653851407563,0.006319864261620067,-0.04103172935407831,0.034859450564272726,0.055951146768924286,0.02057895373706815,0.010980914910982256,-0.02150915928243055
num__unsecured_tl,0.2046777103381661,0.003692124983868767,-0.08585039810328132,0.009341820177807712,0.03755769373700467,0.22867804963684418,0.10401103308814094,0.04755505929144016,-0.001195984146748874,-0.07633576492304685,0.17449070493328353,0.13336019151790734,0.09813947182670774,-0.05429467736775659,-0.012914728666853934,-0.03293582679547302,0.008458062974711592,-0.03322546369555235,-0.08159195485700145,0.09873820917094854,-0.044016354613607325,0.013574576195227145,0.027600500013929774,0.012868872371886816,-0.1463892702849454,-0.2100758029494404,-0.048480672731234506,0.08641829893130337,0.05135859759280706,-0.08157005111209914,0.020613662347262467,0.010646156895458364,0.00021694498119642636,0.06750437984096147,0.10580222855600424,0.028942119350436682,-0.016026850883937793,0.10705500276838814,-0.02269311234506626,-0.023752474540622834,-0.052661249273350336,-0.049927352584161484,-0.10134817694230282,-0.05166749368068385,0.031411420244826904,0.1512243531953786
num__other_tl,0.10427151742234662,0.12406948303906688,-0.13127557914898103,0.10146535247745675,-0.039265643563562956,-0.01617958891887071,-0.005988647562459579,0.02124176763529624,-0.017805251095453806,0.09513066562307199,-0.03500303634062954,0.028445887937544517,0.03470791467028078,-0.061750983768239995,-0.16060311952777753,-0.06990784535871544,0.024692728217234484,-0.07256741233501182,0.044245609896491685,0.040693442278625515,0.029959887877104102,0.03764232494947678,0.01609866037546709,0.0004514764717062636,-0.054185535754548736,-0.07396292152844255,-0.4258857485844723,0.30319326274335223,-0.31894258829929434,0.3908615535760054,0.16943139439627464,-0.0357152415315552,-0.10327507078790357,-0.002589186078913195,-0.3029167114094657,0.03763206219799469,-0.10076855423679718,0.1526649177450422,-0.04379686497653645,-0.12370095453628051,-0.0875366203032101,0.06592640113002785,0.07188300672275319,0.009198863256280639,0.0028759132654730644,-0.007103039061617019
num__age_oldest_tl,0.05083017457047872,0.18537938839998108,-0.03929669481951864,-0.12129124412411998,-0.1800615086501355,0.029937930539425506,0.03168533285907834,0.0574385880503464,-0.15209290337929432,-0.06938450560119569,0.08950290695329377,0.06634779799801907,0.04625031401153412,0.09429867556462918,-0.18634342914329968,0.0468401035442744,0.04499371938497809,-0.11036708095895416,-0.008314364344489386,-0.04227959106101417,0.007198005174600314,-0.02424450276301647,-0.008979337250535221,-0.005133216625039058,0.1498052574253918,-0.08698835143205286,-0.05984465069263348,0.014860203978561332,-0.026165775920947557,-0.044105598057478754,-0.03610259348312807,-0.027560370608438134,-0.020958544759787062,-0.1283098475802687,-0.05932639097183038,-0.06490547795455093,0.09231426638486628,0.3707644866236998,0.14594292445383292,0.47551932400083974,0.4151938584049713,-0.09104123767228635,-0.12846894203911163,-0.06359399134961732,0.2020652651698811,-0.0600795270181276
num__age_newest_tl,-0.10906327672910314,0.07504026178322935,0.037038314297275735,-0.22155390503053538,-0.13015360208015184,-0.034740377219157265,0.012215211524325349,0.043288468266199254,-0.0796418676014428,-0.026614343584455136,0.04023363137593608,0.11379793989982975,0.17497218688208482,0.02219550520996519,-0.21559134140577935,-0.10276110318874151,-0.04831101185348953,-0.11819449827846484,-0.06733510125305223,0.00941565992822549,-0.1203635146185033,0.19714971763503625,0.028503617151624944,0.05108922793505412,0.0001399156641199717,0.3209779133234629,0.0014809551407997806,0.04704755851552271,0.11189245975440582,-0.06192801087286284,-0.014484672609515067,-0.012375537616463109,0.03307841772871534,0.008812653243930688,-0.016497117327155753,-0.03312132117819036,0.06289804359197382,0.019684701633584212,0.05585657550803372,0.1982594911720717,-0.12353870933929714,-0.20446361172658942,0.3735223455887148,0.02246874034385271,0.028371904404185314,-0.15244591076711753
num__time_since_recent_payment,-0.07605239524772642,0.0626967944441414,8.64746528921009e-05,-0.1926799360102321,-0.09385359047855349,-0.07981511122878472,-0.008267884690346238,0.017719664473904523,-0.05949668208844199,-0.044740990563021055,0.04219919199809541,0.12641143633931673,0.19365955217857528,0.1014379932978633,-0.2759116445159473,-0.024677123828571595,-0.03200668265801791,-0.16855212159782793,-0.07297418037512347,-0.10802389479298571,-0.17530099063345028,0.1922677014630711,0.02601913366225691,0.04756515693499309,-0.05253713103504296,0.3396639995652524,0.08725612419850406,-0.029898591233420424,0.14354065277086284,-0.027784455653947222,-0.02082778519494366,-0.05070952438737236,-0.007452302114664917,0.009702993073194506,0.013466047503643441,0.18060054797601008,-0.19842137830158277,0.18638885127016366,-0.12760395101042857,-0.41539828595890566,-0.08044337619960942,0.20751409556978406,-0.23744399726837306,0.0063160707742675026,0.12389398518941164,0.12797698604396068
num__time_since_first_deliquency,0.07944729750707138,0.1929440428889085,0.15341431079129167,0.004477261057279819,0.015588820170892592,-0.06113828560781437,-0.04298561280438729,-0.02048239301288277,0.005583741443762783,-0.1295440910424539,0.09669127569136927,-0.040348477505335184,-0.1278170802217642,-0.00545497425223429,0.1620593874153871,-0.0959755032402646,0.3611262636379535,-0.10113019126861625,-0.02252363499303276,0.023750068243456796,-0.005772185758547044,-0.1263725472868286,-0.0038125287882124492,-0.01818333846373027,-0.12076965565114642,0.16296322912667943,-0.04025878332679924,0.03146153426345941,0.05117510608244752,-0.03215643214589149,0.18227922713132447,0.008441690945223013,0.11336708873974986,-0.027758190288915578,0.0002848488113468377,0.027206791929936008,-0.04443782136422141,0.014593646283257489,0.016548475896337185,-0.009663120206588098,0.029146805395863146,-0.021851780350973307,0.0033867099123654487,0.0022507207596874903,0.015735946944249686,-0.013330163104804574
